"gene1","gene2","pValue","oddsRatio","00","11","01","10","pAdj","Event","pair","event_ratio"
"SPEN","PIK3CA",0.00902726387211902,2.58365771182227,561,19,317,13,0.0499295568148177,"Co_Occurence","PIK3CA, SPEN","19/330"
"SPEN","MAP2K4",0.00955688257578271,4.58209725422709,844,5,34,27,0.0519395792162104,"Co_Occurence","MAP2K4, SPEN","5/61"
"MYH9","AKAP9",0.0100316077470498,5.68931000608898,857,4,25,24,0.0535876482214197,"Co_Occurence","AKAP9, MYH9","4/49"
"TP53","MAP2K4",0.0105170153254962,0.352046404462438,537,7,32,334,0.0546869944380118,"Mutually_Exclusive","MAP2K4, TP53","7/366"
"MAP3K1","FOXA1",0.010587402123199,3.47734142642918,805,7,21,77,0.0546869944380118,"Co_Occurence","FOXA1, MAP3K1","7/98"
"KMT2C","FAT1",0.0112920647081381,3.4286268039859,804,7,21,78,0.0573783775820028,"Co_Occurence","FAT1, KMT2C","7/99"
"SPEN","FAT3",0.0118259958291467,4.31840409738886,842,5,36,27,0.0591299791457337,"Co_Occurence","FAT3, SPEN","5/63"
"CDH1","FOXA1",0.0123797673542394,2.94596572556199,760,9,19,122,0.0609240519401547,"Co_Occurence","CDH1, FOXA1","9/141"
"PIK3R1","PIK3CA",0.0136913938120301,0.318710584110342,548,5,331,26,0.0663342723451073,"Mutually_Exclusive","PIK3CA, PIK3R1","5/357"
"SPEN","FOXA1",0.0142448300227827,5.06485559603994,854,4,24,28,0.0664471286345223,"Co_Occurence","FOXA1, SPEN","4/52"
"SPEN","MYH9",0.0142448300227827,5.06485559603994,854,4,24,28,0.0664471286345223,"Co_Occurence","MYH9, SPEN","4/52"
"TP53","AKT1",0.0143525797850568,0.282082572894909,546,4,23,337,0.0664471286345223,"Mutually_Exclusive","AKT1, TP53","4/360"
"KMT2D","LRP1B",0.0158669336872731,4.88548841057767,853,4,24,29,0.0713441262916959,"Co_Occurence","KMT2D, LRP1B","4/53"
"KMT2D","MYH9",0.0158669336872731,4.88548841057767,853,4,24,29,0.0713441262916959,"Co_Occurence","KMT2D, MYH9","4/53"
"AKAP9","SPEN",0.0161179367577149,4.85769664929519,853,4,28,25,0.0714447551317153,"Co_Occurence","AKAP9, SPEN","4/53"
"MAP2K4","PIK3CA",0.0164005616488535,2.29341899801537,557,22,314,17,0.0716807764372969,"Co_Occurence","MAP2K4, PIK3CA","22/331"
"GATA3","NCOR1",0.0176480736881345,2.34365809418271,748,13,37,112,0.0750628802693231,"Co_Occurence","GATA3, NCOR1","13/149"
"ARID1A","NF1",0.0176547894393448,3.84585527993215,839,5,34,32,0.0750628802693231,"Co_Occurence","ARID1A, NF1","5/66"
"MYH9","TBX3",0.019453703816866,4.56110820752512,851,4,31,24,0.0816011066143709,"Co_Occurence","MYH9, TBX3","4/55"
