"gene1","gene2","pValue","oddsRatio","00","11","01","10","pAdj","Event","pair","event_ratio"
"MUC16","SYNE1",0.00127069312716489,3.21418600614667,852,13,40,86,0.00690594090850485,"Co_Occurence","MUC16, SYNE1","13/126"
"MUC17","PTEN",0.001328005211304,4.57443031378459,903,8,45,35,0.00709404493217952,"Co_Occurence","MUC17, PTEN","8/80"
"NF1","HMCN1",0.00139997826688873,4.54650175678689,901,8,51,31,0.00735282703197863,"Co_Occurence","HMCN1, NF1","8/82"
"NF1","SPTA1",0.00145214809405702,5.10484638628424,913,7,39,32,0.00750076494864163,"Co_Occurence","NF1, SPTA1","7/71"
"SYNE2","SPTA1",0.00169865633785381,4.94456836330153,912,7,39,33,0.00854229695091954,"Co_Occurence","SPTA1, SYNE2","7/72"
"MUC17","RYR2",0.0017084593901839,4.37009544118209,901,8,47,35,0.00854229695091954,"Co_Occurence","MUC17, RYR2","8/82"
"MUC16","NEB",0.00173925757951682,3.46509727586646,861,11,31,88,0.0085593384818741,"Co_Occurence","MUC16, NEB","11/119"
"ZFHX4","LRP2",0.00193655635726405,4.81641717681872,911,7,33,40,0.00923929559763385,"Co_Occurence","LRP2, ZFHX4","7/73"
"ZFHX4","SYNE2",0.00193655635726405,4.81641717681872,911,7,33,40,0.00923929559763385,"Co_Occurence","SYNE2, ZFHX4","7/73"
"TTN","SYNE1",0.00208530577244153,2.67689764482819,787,18,35,151,0.00979936923139818,"Co_Occurence","SYNE1, TTN","18/186"
"USH2A","TP53",0.00226577380679961,2.43630775965393,627,28,313,23,0.0104896935499982,"Co_Occurence","TP53, USH2A","28/336"
"HMCN1","NEB",0.00232894771759069,4.13275649345079,898,8,34,51,0.010624761485359,"Co_Occurence","HMCN1, NEB","8/85"
"LRP2","NCOR1",0.00280915677810623,4.4668062383124,908,7,43,33,0.0125819640081751,"Co_Occurence","LRP2, NCOR1","7/76"
